,CHICK,CHILI,CHILL,CHOCK,CHUCK,CHUMP,CHUNK,CINCH,CIVIC,CIVIL,CLICK,CLIFF,CLING,CLINK,CLOCK,CLOTH,CLOUT,CLOWN,CLUCK,CLUMP,CLUNG,COLON,COMFY,COMIC,CONCH,CONIC,COUCH,COUGH,COUNT,COYLY,CUMIN,CYNIC,FICUS,FIFTH,FIFTY,FIGHT,FILLY,FILMY,FILTH,FINCH,FISHY,FIZZY,FLICK,FLING,FLINT,FLOCK,FLOSS,FLOUT,FLOWN,FLUFF,FLUNG,FLUNK,FLUSH,FOCUS,FOGGY,FOIST,FOLIO,FOLLY,FULLY,FUNGI,FUNKY,FUNNY,FUSSY,FUZZY,GHOST,GHOUL,GIPSY,GLINT,GLOOM,GLOSS,GLYPH,GOING,GOLLY,GOOFY,GUILT,GULCH,GULLY,GUMMY,GUPPY,GUSTO,GUSTY,GYPSY,HILLY,HIPPO,HIPPY,HITCH,HOIST,HOLLY,HOTLY,HUMPH,HUMUS,HUNCH,HUNKY,HUSKY,HUSSY,HUTCH,ICILY,ICING,IGLOO,IMPLY,INGOT,INPUT,IONIC,ITCHY,JIFFY,JOINT,JOIST,JOLLY,JOUST,JUICY,JUMPY,JUNTO,KINKY,KIOSK,KITTY,KNOCK,KNOLL,KNOWN,LIGHT,LIMIT,LINGO,LOCUS,LOFTY,LOGIC,LOGIN,LOOPY,LOUSY,LOWLY,LUCKY,LUMPY,LUNCH,LUPUS,LUSTY,LYING,LYMPH,LYNCH,MIGHT,MILKY,MIMIC,MINIM,MINTY,MINUS,MISSY,MOGUL,MOIST,MONTH,MOSSY,MOTIF,MOTTO,MOULT,MOUNT,MOUTH,MUCKY,MUCUS,MULCH,MUMMY,MUNCH,MUSHY,MUSIC,MUSKY,MUSTY,NIGHT,NINNY,NINTH,NOISY,NOTCH,NUTTY,NYLON,NYMPH,ONION,OPIUM,OPTIC,OUGHT,OUTGO,OWING,PHONY,PHOTO,PICKY,PIGGY,PILOT,PINCH,PINKY,PINTO,PITCH,PITHY,PIVOT,PLUCK,PLUMP,PLUNK,PLUSH,POINT,POLYP,POOCH,POPPY,POSIT,POUCH,POUTY,PUFFY,PULPY,PUNCH,PUPIL,PUPPY,PUSHY,PUTTY,PYGMY,QUICK,QUILL,QUILT,QUOTH,SCION,SCOFF,SCOOP,SCOUT,SCOWL,SHIFT,SHINY,SHOCK,SHOOK,SHOOT,SHOUT,SHOWN,SHOWY,SHUCK,SHUNT,SHUSH,SHYLY,SIGHT,SILKY,SILLY,SISSY,SIXTH,SIXTY,SKIFF,SKILL,SKIMP,SKULK,SKULL,SKUNK,SLICK,SLIMY,SLING,SLINK,SLOOP,SLOSH,SLOTH,SLUMP,SLUNG,SLUNK,SLUSH,SLYLY,SMITH,SMOCK,SMOKY,SNIFF,SNOOP,SNOUT,SNOWY,SNUCK,SNUFF,SOGGY,SONIC,SOOTH,SOOTY,SOUTH,SPICY,SPIKY,SPILL,SPILT,SPINY,SPLIT,SPOIL,SPOOF,SPOOK,SPOOL,SPOON,SPOUT,SPUNK,STICK,STIFF,STILL,STILT,STING,STINK,STINT,STOCK,STOIC,STOMP,STONY,STOOL,STOOP,STOUT,STUCK,STUFF,STUMP,STUNG,STUNK,STUNT,SUING,SULKY,SULLY,SUNNY,SUSHI,SWIFT,SWILL,SWING,SWISH,SWOON,SWOOP,SWUNG,THICK,THIGH,THING,THINK,THONG,THUMP,TIGHT,TIPSY,TONIC,TOOTH,TOPIC,TOUCH,TOUGH,TOXIC,TOXIN,TULIP,TUNIC,TWIST,TWIXT,TYING,UNCUT,UNFIT,UNIFY,UNION,UNITY,UNLIT,UNTIL,UNZIP,USING,VIGIL,VINYL,VISIT,VOMIT,VOUCH,VYING,WHICH,WHIFF,WHINY,WHISK,WHOOP,WIGHT,WILLY,WIMPY,WINCH,WISPY,WITCH,WITTY,WOOLY,WOOZY,YOUNG,YOUTH
STUNK,8,57,57,9,7,17,6,25,138,87,5,77,10,3,6,17,10,39,3,14,6,42,58,47,36,15,19,15,2,52,15,23,31,21,31,16,73,60,18,21,37,108,5,11,4,6,38,12,43,30,8,4,9,30,90,7,44,69,39,13,7,15,25,58,11,32,33,2,92,38,62,11,67,90,10,21,39,48,44,6,12,57,39,39,53,24,8,42,19,38,17,24,7,8,25,17,48,13,44,51,2,4,15,9,106,2,8,83,5,37,48,9,8,6,3,8,9,14,15,26,11,23,30,31,18,72,13,71,3,32,17,15,13,8,62,31,14,15,112,37,9,11,45,37,6,14,42,8,43,4,2,5,8,21,21,57,23,23,24,9,12,3,17,8,11,14,11,35,57,25,45,8,6,12,11,24,27,9,76,8,21,9,5,19,19,9,2,24,3,9,2,72,88,113,4,14,6,44,35,20,32,54,22,21,133,7,39,12,11,11,48,46,4,29,10,8,7,11,11,5,18,33,5,2,16,41,10,11,37,46,15,17,13,11,9,5,5,3,5,34,7,3,32,27,12,13,5,3,11,57,13,7,15,14,17,2,14,4,9,39,10,16,19,6,26,12,33,9,8,9,13,44,11,32,20,4,3,1,11,11,9,3,1,3,2,5,12,6,11,12,5,1,5,5,2,1,2,6,6,20,9,20,13,38,8,40,20,46,6,1,30,5,1,5,7,18,17,5,27,9,5,5,11,6,17,6,18,34,5,4,4,19,23,6,4,7,24,7,100,22,14,9,19,11,88,91,13,10,107,18,72,74,20,40,24,30,71,122,9,6
STUNT,82,57,57,98,17,17,7,25,138,87,76,77,10,11,88,17,0,39,17,14,6,42,58,47,36,15,19,15,0,52,15,23,31,21,31,0,73,60,18,21,37,108,67,11,0,68,38,0,43,30,8,7,9,30,90,0,44,69,39,13,16,15,25,58,0,32,33,0,92,38,62,11,67,90,0,21,39,48,44,6,12,57,39,39,53,24,0,42,19,38,17,24,18,18,25,17,48,13,44,51,0,0,15,0,106,0,0,83,0,37,48,9,21,21,27,34,37,44,0,0,11,23,30,31,18,72,13,71,25,32,17,15,13,8,62,31,0,50,112,37,9,11,45,37,0,14,42,8,43,0,0,5,29,21,21,57,23,23,24,22,12,0,17,8,11,14,11,35,57,25,45,8,0,12,11,24,27,46,76,0,21,19,5,19,19,0,14,24,7,9,0,72,88,113,0,14,6,44,35,20,32,54,22,21,133,34,39,0,11,11,48,46,0,29,0,8,30,31,0,0,18,33,8,0,16,41,0,26,37,46,15,17,40,32,32,9,9,5,29,34,7,6,32,27,12,13,5,4,11,57,13,37,28,14,17,0,14,5,9,39,10,16,19,6,26,23,33,0,8,0,13,44,35,32,20,0,5,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,6,14,20,9,20,0,38,8,40,20,46,6,27,30,5,5,5,7,0,17,5,27,9,5,5,11,6,17,6,0,0,5,0,0,19,23,6,0,7,24,7,100,22,0,0,19,11,88,91,13,35,107,0,72,74,20,40,24,30,71,122,9,6
SUING,40,30,30,98,47,30,4,33,62,44,35,33,9,15,88,43,29,39,40,26,2,42,58,78,36,24,40,7,4,52,2,23,3,45,41,11,51,43,26,28,25,77,28,10,10,68,38,34,43,49,2,3,14,30,15,15,64,69,18,1,2,1,4,27,6,5,5,6,18,7,11,12,16,20,1,3,4,4,4,1,1,9,48,49,64,33,16,42,23,24,8,2,2,3,3,23,32,12,17,60,9,4,23,29,76,14,17,83,16,4,16,2,29,23,38,34,37,44,8,28,8,23,36,10,9,72,8,71,10,12,2,12,3,8,62,31,13,44,57,35,17,2,26,7,15,26,42,48,119,23,4,25,14,12,16,21,2,2,1,2,2,12,20,22,9,30,7,35,57,22,9,38,5,5,11,24,78,47,14,22,29,26,16,24,35,38,29,35,4,15,13,72,88,113,18,28,17,22,17,2,5,23,2,14,31,2,2,2,28,10,48,46,16,29,14,7,30,31,32,14,18,33,6,2,8,41,3,14,18,27,18,16,17,14,15,8,8,2,12,13,3,6,32,27,15,7,1,2,6,57,14,37,28,10,17,7,14,2,2,7,10,32,26,4,18,15,15,7,7,9,19,44,35,32,20,16,2,10,16,11,11,3,5,6,23,19,31,9,20,32,18,4,5,5,1,2,2,1,2,2,1,1,13,16,3,22,20,46,1,20,11,11,12,13,21,13,14,13,107,38,27,5,49,26,5,1,16,38,9,15,2,1,1,1,3,3,3,1,11,23,21,60,40,11,40,44,16,15,107,11,52,62,31,24,30,42,71,122,2,13
SULKY,7,27,24,13,3,30,2,68,138,45,3,27,24,2,5,24,10,34,1,11,11,15,40,47,73,44,40,32,25,8,21,48,31,70,39,56,2,7,9,55,11,47,3,26,27,5,15,13,37,21,13,2,5,30,53,22,6,4,2,24,5,22,3,25,33,20,15,24,36,15,20,49,5,53,7,5,2,20,20,6,3,19,2,39,37,69,17,5,8,24,8,27,4,1,3,23,7,82,5,5,41,29,44,36,46,47,23,5,16,27,16,31,6,4,8,10,9,26,32,44,18,10,14,17,18,15,2,6,1,4,10,2,2,13,16,19,60,1,112,107,32,21,10,20,18,49,12,40,119,7,22,25,4,12,6,23,21,3,4,1,3,52,51,64,11,49,22,12,36,57,45,32,25,38,49,32,78,6,38,6,43,6,29,46,30,47,1,15,2,4,29,11,88,51,19,28,20,18,4,17,9,23,3,19,50,5,9,8,28,11,48,46,16,17,26,6,7,7,32,14,27,12,1,2,8,3,26,1,1,11,29,9,13,2,9,1,1,1,2,3,8,2,11,13,9,2,2,1,2,2,26,6,3,38,31,9,11,1,7,14,11,32,13,4,11,2,6,6,8,2,8,44,5,15,31,16,1,3,35,7,9,24,3,25,7,16,31,10,15,32,18,1,5,5,3,1,3,2,1,1,2,3,28,8,37,40,36,46,7,7,73,52,6,61,21,73,12,37,107,32,27,29,51,48,6,22,37,118,35,33,44,23,51,22,7,22,56,33,53,23,49,51,40,43,88,91,40,4,107,63,2,31,64,10,60,44,9,67,22,22
SULLY,82,0,0,98,47,30,30,68,138,45,26,27,24,25,34,24,10,34,16,11,11,0,40,47,73,44,40,32,25,0,21,48,31,70,39,56,5,0,0,55,11,47,23,26,27,30,15,13,37,21,13,16,5,30,53,22,0,5,2,24,17,22,3,25,33,20,15,24,36,15,20,49,6,53,0,0,2,20,20,6,3,19,6,39,37,69,17,6,0,24,8,27,18,2,3,23,0,82,0,0,41,29,44,36,46,47,23,7,16,27,16,31,45,21,41,94,0,103,32,44,18,10,14,17,18,15,2,0,4,4,10,2,2,13,16,19,60,0,112,107,32,21,10,20,18,49,12,40,119,0,22,25,17,12,0,23,21,3,4,2,3,52,51,64,11,49,22,0,36,57,45,32,25,38,49,32,78,35,38,0,43,32,29,46,30,47,11,15,12,4,29,0,88,51,19,28,20,18,0,17,9,23,3,19,50,30,0,0,28,11,48,46,16,17,26,6,30,31,32,14,27,12,6,2,8,0,26,0,1,11,29,9,40,0,32,0,0,6,4,3,8,5,11,13,9,2,2,1,2,0,26,37,10,38,31,9,11,5,7,14,11,32,13,4,11,9,0,0,8,0,8,44,35,15,31,16,5,22,35,0,0,24,16,25,23,16,31,10,15,32,18,4,5,5,3,2,3,2,0,1,2,3,28,0,37,40,36,46,7,55,73,52,51,61,21,73,12,37,107,32,27,29,51,48,0,22,37,118,35,33,44,23,51,22,0,22,56,33,53,23,49,51,40,43,88,91,40,35,107,63,7,31,64,10,60,44,0,67,22,22
SUNNY,82,57,57,98,47,30,0,0,138,87,76,77,0,0,88,43,29,39,40,26,0,42,40,47,0,0,40,32,0,47,6,0,31,70,39,56,30,20,31,0,11,47,67,0,0,68,38,34,43,49,0,0,14,30,53,22,44,44,18,0,0,1,3,25,33,32,15,0,92,38,33,0,47,53,22,14,20,20,20,6,3,19,31,39,37,69,17,43,32,24,8,0,0,2,3,23,36,0,44,18,16,16,0,36,46,0,23,51,16,27,16,0,0,21,41,34,37,44,34,55,0,23,32,31,18,34,7,50,17,11,0,12,1,0,28,0,60,24,112,0,0,0,10,37,18,0,12,40,119,23,0,25,17,12,16,23,0,3,4,2,3,20,2,0,1,30,4,12,10,25,45,32,25,38,0,0,78,35,38,25,0,0,0,46,30,47,29,35,0,15,0,37,88,51,19,28,20,18,17,0,26,23,3,19,50,30,33,24,28,11,48,46,16,29,26,0,30,31,32,14,18,12,6,0,8,11,26,6,7,11,29,9,40,32,32,8,8,0,29,6,0,0,32,27,15,7,0,0,6,13,26,37,10,14,17,7,3,2,2,14,0,32,13,4,11,9,33,17,0,17,13,44,35,32,20,16,0,22,35,24,24,0,0,0,23,16,31,0,20,32,18,4,5,5,0,0,0,0,1,1,1,3,28,38,0,40,20,46,0,55,73,0,0,0,21,73,12,0,107,32,27,29,51,22,17,0,37,118,0,15,15,3,23,4,12,12,24,0,100,0,49,51,40,0,88,91,0,35,107,63,35,31,0,10,60,44,50,67,0,22
SUSHI,17,1,14,29,8,6,8,5,62,44,42,37,24,29,88,13,29,52,40,26,21,62,58,78,21,57,7,7,25,52,4,41,3,7,41,1,51,43,5,3,0,77,33,31,15,68,38,34,59,49,25,27,6,30,90,6,64,69,18,1,18,19,0,27,6,11,20,17,92,38,19,41,67,90,3,7,14,14,16,0,0,57,12,17,14,5,2,36,17,2,2,4,5,0,0,3,24,39,70,60,45,5,56,1,76,26,8,83,16,4,16,31,43,23,38,94,69,103,1,28,22,23,36,45,42,72,8,71,10,12,7,12,0,22,27,20,1,44,57,40,23,1,0,37,6,15,0,48,119,23,22,5,14,12,6,21,5,0,0,0,0,1,54,6,7,12,11,45,24,50,6,38,3,38,36,20,20,47,60,22,5,33,21,5,1,38,29,35,23,5,19,72,24,113,0,6,17,22,17,6,5,23,0,14,133,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,5,5,16,7,1,14,30,22,38,7,7,49,44,5,2,9,49,12,33,5,4,5,4,5,5,7,3,42,31,0,60,7,26,12,17,12,4,32,1,52,62,3,0,2,42,71,122,14,2
SWIFT,40,30,30,98,105,74,71,31,62,44,35,3,17,14,88,17,12,10,96,68,57,62,9,78,73,57,61,48,15,52,52,41,5,3,4,2,8,7,4,4,4,9,6,5,2,11,7,2,2,4,10,10,6,5,10,2,8,9,9,8,8,9,7,10,7,34,20,8,92,38,62,35,67,10,11,59,86,109,94,12,21,57,48,49,64,30,4,42,19,103,60,81,48,36,40,38,32,26,70,60,10,18,56,27,2,8,5,83,8,37,107,26,43,23,36,94,69,13,13,12,22,28,5,45,42,72,15,12,59,70,45,48,19,21,62,29,17,44,57,40,23,24,26,52,5,16,42,7,43,11,13,17,77,67,60,135,64,43,35,45,22,12,54,22,14,21,37,45,54,37,45,34,10,27,5,33,27,47,60,6,20,33,13,24,27,12,70,95,54,23,7,72,88,113,6,46,28,2,81,54,66,122,32,42,133,40,42,11,18,15,2,46,7,4,1,12,30,31,6,5,2,4,34,4,53,41,5,14,18,27,11,12,2,14,15,36,36,39,12,13,10,6,32,27,12,32,30,22,34,57,9,37,28,2,31,6,3,34,2,39,22,16,19,10,18,15,15,3,12,4,19,2,35,32,31,5,27,4,2,3,2,4,4,3,9,7,6,7,7,7,5,12,2,9,11,12,6,18,26,35,39,31,1,3,3,3,3,5,4,17,16,10,10,20,25,15,11,22,27,29,18,17,30,25,30,26,1,1,13,25,4,6,32,15,14,25,60,24,42,31,10,18,57,35,6,1,4,3,6,3,6,7,4,5,3,3,6,7,39,16
SWILL,40,0,5,98,105,74,71,31,62,0,9,10,8,8,34,24,16,2,39,30,33,30,58,78,73,57,61,48,35,0,52,41,28,45,41,32,0,23,18,25,25,77,9,11,7,30,15,19,2,46,33,35,13,36,90,15,24,0,0,66,66,82,43,128,33,0,20,7,36,15,19,35,0,90,0,24,0,109,94,19,31,57,0,49,64,33,16,0,0,103,60,81,48,36,40,79,0,26,23,0,45,35,56,29,76,22,17,0,21,37,107,48,43,23,38,94,5,13,16,17,20,14,30,21,25,38,10,0,25,35,32,16,13,14,45,31,31,21,57,40,23,24,26,0,15,49,42,48,119,0,39,43,77,67,29,135,64,43,35,45,32,23,54,25,14,49,47,32,54,37,45,38,41,61,5,33,78,47,60,17,20,33,21,24,35,38,29,39,31,8,19,37,88,113,18,46,30,101,37,54,0,122,32,65,133,40,5,0,53,15,48,46,19,0,14,12,30,31,32,18,2,4,34,25,53,0,15,7,0,27,18,16,17,3,15,0,3,39,5,6,6,5,11,13,9,9,14,12,13,0,14,37,28,14,31,15,3,34,46,39,22,32,26,18,18,15,3,0,12,6,0,44,35,0,31,16,27,10,16,3,0,10,5,10,23,19,31,14,0,32,21,26,40,27,30,20,31,18,13,0,39,31,3,1,3,3,3,5,4,20,26,17,9,61,72,38,14,30,107,38,39,41,49,44,18,31,2,4,19,67,33,24,32,16,12,0,60,24,0,0,21,60,57,35,6,5,4,3,6,1,0,7,4,5,3,4,0,7,39,22
SWING,40,30,30,98,105,74,17,33,62,44,35,33,9,15,88,43,29,3,96,68,8,42,58,78,36,24,61,12,10,52,32,23,28,45,41,11,51,43,26,28,25,77,28,10,10,68,38,34,4,129,9,18,31,36,15,15,64,69,89,15,26,17,43,128,6,7,5,6,18,7,11,12,16,20,4,10,14,22,23,2,2,9,48,49,64,33,16,42,23,103,60,32,25,36,40,79,32,12,17,60,9,26,23,29,76,14,17,83,21,37,107,14,29,23,38,34,37,4,8,28,8,28,36,10,9,72,15,12,59,70,22,48,21,8,62,31,13,44,57,35,17,11,26,9,15,26,42,48,119,34,13,43,77,67,60,135,32,43,35,45,32,12,20,22,9,30,33,35,57,22,45,38,9,12,1,24,78,47,14,22,29,26,16,24,35,38,70,95,15,23,13,72,88,113,18,46,30,101,81,28,66,122,32,65,31,40,42,21,53,10,48,46,19,4,14,7,30,31,32,18,2,4,34,4,53,41,3,14,18,27,18,16,17,14,15,36,36,7,12,13,3,6,32,27,15,32,2,6,34,57,14,37,28,10,17,5,2,10,14,7,10,32,26,18,18,15,15,7,7,9,19,44,35,32,20,16,6,10,16,11,11,3,5,6,23,19,31,9,20,32,21,26,40,27,2,4,5,3,26,35,6,31,3,3,1,3,2,5,1,20,11,11,12,13,72,13,14,13,107,38,39,11,49,26,28,14,2,4,9,26,23,17,20,10,17,17,34,3,11,23,21,60,57,11,6,5,2,3,6,2,6,7,2,5,3,4,6,7,7,22
SWISH,3,3,3,29,29,20,25,3,62,44,35,33,17,14,88,4,29,10,96,68,57,62,58,78,13,57,10,8,35,52,52,41,28,2,41,8,51,43,2,3,4,77,28,18,10,68,0,34,10,129,67,62,0,36,90,0,64,69,89,66,66,82,0,128,0,17,0,12,92,0,26,35,67,90,16,9,86,109,94,19,31,0,12,17,14,1,0,36,17,17,17,11,29,11,0,5,32,26,70,60,45,35,56,4,76,22,0,83,0,37,107,48,43,0,38,94,69,13,7,28,22,28,36,45,42,72,0,12,59,70,7,48,21,21,25,13,9,44,57,40,23,24,0,52,0,8,0,48,119,34,39,8,77,67,7,135,10,13,35,45,32,7,54,2,0,8,47,45,25,37,45,38,19,61,5,20,20,47,60,22,3,33,21,1,7,38,70,95,54,0,19,72,10,113,18,7,30,101,81,10,66,122,14,65,133,40,42,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,16,10,9,0,30,21,38,4,9,49,44,28,31,0,4,19,67,33,24,32,16,22,22,60,24,42,31,21,60,10,35,1,1,1,0,1,1,6,7,1,5,1,4,6,7,39,6
SWOON,82,57,57,0,105,74,17,25,138,87,76,77,14,11,0,0,0,0,96,68,18,0,43,40,14,13,31,25,11,34,6,23,27,70,65,56,73,60,31,21,37,108,67,20,14,0,0,0,0,129,29,27,31,22,49,16,32,43,89,15,26,16,43,128,0,0,33,16,11,0,62,13,38,0,27,59,86,109,94,25,31,57,39,49,53,69,14,32,17,103,60,32,25,36,40,79,48,17,0,51,0,8,13,30,106,11,18,44,20,30,107,19,21,0,53,0,0,0,34,55,13,17,21,25,4,0,18,6,59,70,22,48,21,17,62,31,60,50,112,37,22,6,45,31,16,14,27,26,37,23,14,29,77,67,60,135,32,43,27,45,32,20,14,22,5,11,33,0,57,0,47,29,44,54,1,0,0,46,76,0,21,19,11,46,32,0,70,95,24,23,9,29,0,47,13,18,25,101,81,28,30,122,32,65,133,55,46,32,0,0,0,4,0,0,26,6,0,10,9,0,0,0,34,7,53,41,26,26,37,46,29,29,40,32,32,36,36,8,29,34,8,7,3,0,0,32,8,8,34,57,26,0,0,14,1,0,0,10,14,30,7,0,0,16,26,23,33,17,5,17,0,4,3,3,1,0,6,22,35,24,24,7,6,7,0,0,0,0,8,2,0,26,40,27,8,8,8,5,26,35,6,22,3,3,1,3,1,1,1,55,73,14,9,0,72,73,20,10,0,15,23,27,24,7,19,11,3,3,17,26,10,9,0,7,6,6,12,5,100,22,49,31,30,22,7,8,4,5,1,8,5,7,5,4,7,8,0,0,12,29
SWOOP,82,57,57,0,105,5,71,68,138,87,76,77,46,54,0,0,0,0,96,4,57,0,43,40,23,29,31,25,17,34,39,51,27,70,65,56,73,60,31,55,37,108,67,59,39,0,0,0,0,129,67,62,31,22,49,16,32,43,89,42,66,82,43,128,0,0,14,40,11,0,21,34,38,0,27,59,86,109,26,25,31,20,39,13,18,69,14,32,17,30,60,81,48,36,40,79,48,82,0,14,0,13,29,30,106,22,18,44,20,30,25,41,67,0,53,0,0,0,34,55,39,17,21,25,22,0,18,6,59,18,45,14,21,44,17,29,60,50,112,107,38,24,45,31,16,15,27,26,37,23,22,29,77,67,60,135,64,43,27,45,32,52,82,64,22,13,47,0,21,0,12,8,44,54,1,0,0,15,20,0,16,16,8,15,12,0,16,5,16,13,7,6,0,15,8,10,11,18,12,20,10,17,15,13,23,55,46,32,0,0,0,4,0,0,26,22,0,10,9,0,0,0,34,25,53,41,26,26,37,46,29,29,40,32,5,36,36,39,29,34,26,19,4,0,0,4,30,22,34,57,26,0,0,38,4,0,0,34,46,30,17,0,0,16,7,8,6,3,7,3,0,5,5,4,4,0,5,22,35,24,24,24,16,25,0,0,0,0,8,4,0,26,40,4,30,20,31,24,26,35,39,22,3,3,1,3,1,1,4,55,73,52,51,0,5,73,10,14,0,9,23,27,24,22,4,33,3,3,43,67,36,28,0,20,22,22,7,26,100,49,49,31,30,70,7,8,2,5,1,8,5,1,2,1,7,8,0,0,32,29
SWUNG,82,57,57,98,17,17,7,25,138,87,76,77,4,11,88,43,29,3,17,14,3,42,58,47,36,15,19,4,8,52,15,23,31,70,65,11,73,60,31,21,37,108,67,4,7,68,38,34,4,30,3,7,9,30,15,22,44,69,39,5,16,15,25,58,6,5,3,2,18,7,11,5,16,20,3,4,5,8,9,3,3,9,39,39,53,69,17,42,23,38,17,24,18,18,25,23,48,6,7,51,4,16,15,30,106,12,23,83,11,37,48,15,21,21,53,34,37,4,6,55,2,23,36,6,2,72,13,12,25,32,17,15,11,3,62,31,11,50,112,37,22,11,45,7,18,26,42,40,119,9,10,16,29,21,21,57,23,23,24,22,18,5,17,22,11,30,16,35,57,25,45,32,5,5,1,24,78,46,12,25,21,19,10,46,32,47,14,24,7,9,10,72,88,113,19,14,19,44,35,20,32,54,22,30,31,34,39,16,24,11,48,46,16,4,26,8,30,31,32,14,2,4,8,5,16,41,2,26,37,46,29,29,40,32,32,9,9,5,29,34,2,6,32,27,15,13,2,4,11,57,26,37,28,14,17,7,2,5,9,7,10,32,26,10,26,23,33,17,8,17,13,44,35,32,20,16,5,22,35,24,24,2,3,6,23,16,31,9,20,32,18,6,12,11,2,2,5,3,14,20,9,20,3,3,1,3,2,5,1,55,15,5,7,13,15,13,20,10,107,32,14,4,51,22,13,10,3,3,4,15,15,19,23,14,12,12,24,3,14,22,49,51,19,6,7,8,1,5,6,1,5,7,5,4,7,8,6,7,5,19
THICK,1,2,2,2,2,3,2,1,12,9,3,8,6,3,6,2,6,17,6,20,20,19,22,19,2,15,1,2,6,24,12,10,19,5,36,3,51,43,5,2,8,77,4,18,4,8,66,21,59,129,67,11,18,21,90,6,64,69,89,66,16,82,73,128,3,9,33,4,92,65,19,35,67,90,6,4,86,109,94,10,20,83,12,17,14,1,4,36,17,28,38,4,6,4,34,1,5,12,70,60,18,18,18,4,76,6,6,83,17,7,107,26,11,7,4,12,15,26,3,11,22,14,30,17,42,72,26,71,8,70,4,63,26,21,27,6,2,8,19,40,23,19,50,52,6,9,65,29,43,22,18,12,13,41,4,135,4,29,21,12,27,2,54,4,15,1,37,45,24,37,45,3,10,27,27,12,6,8,60,13,2,10,13,1,7,15,8,95,10,14,6,72,4,113,16,2,28,101,81,4,66,122,24,42,133,6,42,10,13,10,42,38,5,25,4,7,3,5,5,4,8,11,3,3,13,15,2,4,34,55,4,22,6,4,7,4,10,7,3,16,8,3,59,19,11,53,38,3,20,89,3,8,13,15,55,12,39,7,66,59,16,12,28,11,6,7,21,6,15,15,38,75,11,59,55,15,7,1,12,9,6,3,1,2,1,4,31,19,30,34,16,1,41,32,25,1,21,11,6,57,48,22,6,18,13,6,72,90,58,1,2,1,1,2,5,2,9,1,4,1,1,2,1,5,8,1,5,5,3,11,15,24,32,15,17,25,60,11,42,31,7,25,2,35,2,8,6,3,15,3,52,62,2,43,1,37,71,122,39,11
THIGH,0,0,0,0,0,0,0,0,62,44,35,33,1,14,88,0,18,52,96,68,14,62,58,78,0,57,0,0,13,52,52,41,20,0,36,2,51,43,0,0,8,77,28,1,4,68,66,21,59,129,11,62,0,37,1,6,64,69,89,2,66,82,73,128,0,0,11,1,18,13,0,1,16,20,4,0,14,22,23,9,10,27,12,17,14,0,4,36,17,0,38,0,29,30,34,0,32,2,17,60,1,18,56,10,76,6,6,83,17,37,107,26,43,37,36,94,69,103,2,11,1,31,30,10,2,72,26,71,59,70,0,63,26,1,0,0,2,44,57,40,23,19,50,9,6,0,65,29,43,22,18,0,77,75,0,135,0,29,47,64,27,1,54,0,15,0,37,45,0,37,45,34,2,1,2,0,0,47,2,13,0,33,13,0,7,15,70,95,54,0,6,72,0,113,16,0,28,101,81,0,66,122,24,42,31,40,42,10,0,6,62,59,12,45,0,0,0,0,0,0,0,0,0,0,2,0,2,30,34,55,0,22,26,19,29,74,74,75,16,16,1,6,59,0,0,53,9,42,0,89,0,58,52,15,55,12,39,54,66,2,28,0,28,0,16,21,21,6,15,15,38,75,81,59,55,15,55,11,12,9,6,2,4,2,31,25,31,19,30,34,16,36,41,32,6,29,21,1,51,57,48,22,6,18,2,0,72,90,15,0,1,0,0,0,0,2,9,5,0,7,0,0,7,5,8,5,5,5,1,25,15,24,32,15,17,25,60,1,11,31,7,25,0,2,1,0,0,0,0,2,52,62,0,43,0,37,71,122,8,0
